"Disclaimer: All answers posted here are personal opinions and views, often based on facts. Read the glossary at cell G5 for basic terms.",,,,,,
Timestamp,Is it about,question,answer,Answer-2,Answer-3,
10/18/2019 13:55:06,4th year placements,Do any companies with high (12+) base pay come after August?,"Quite a few of them do come even after August, at least one every month.",,,
10/18/2019 13:55:29,3rd year Summer Internship,How likely is it that internship will convert to full-time job?,Depends on the company. Each company has a different conversion percentage. Usually depends on the way you've worked during the internship. Some companies have additional interviews/presentations/tests. ,,,
10/18/2019 13:56:07,4th year placements,When do placements usually begin?,3rd or 4th week of July,,,
10/18/2019 13:56:20,3rd year Summer Internship,Are interns paid? ,Companies rarely don't offer stipends. Minimum stipend was around 20000 per month,,,
10/18/2019 13:56:45,4th year placements,"what are the tier 1, 2 and 3 cutoffs?",tier 1 : 8L CTC and above; tier 2: 4-8L CTC; tier 3: CTC below 4L,,,
10/18/2019 13:57:06,4th year placements,how many offers can you hold at once?,"Once you have an offer in a tier, you can only write tests for tiers above the one that you hold an offer in. In addition to this, you can only hold 2 offers on-campus for the same type of employment (internship/FTE) overall",,,
10/18/2019 13:57:19,3rd year Summer Internship,Does it make sense to move to Bellandur for the summer if I get an internship there?,"Depends on where you live, the timings of your job, and how tolerant you are of Bangalore traffic. ",,,
10/18/2019 13:57:58,3rd year Summer Internship,Is it better to do a research based internships over an industry internship?,There's no wrong answer. Depends on your preference and how you want the internship to build your resume for  when you apply for masters or apply for jobs at industries.,,,
10/18/2019 13:58:12,3rd year Summer Internship,Do companies have a CGPA Cut-off?,"Yes, usually 7, 8, 8.5. Rarely above 9",,,
10/18/2019 13:59:29,4th year placements,Does 24l package mean that I'll be getting 24 lakhs as salary per annum?,"The CTC package that companies give is usually split into various sections. The ""base pay"" is generally how much income you'll get per annum in hand, before tax cuts. ",,,
10/18/2019 13:59:53,4th year placements,How many companies hire for non-technical roles?,There isn't a definite number. Tech companies always have a Software developer role and sometimes they hire for non-technical roles,,,
10/18/2019 14:00:09,4th year placements,How many companies hire for a business analyst role?,Companies like Deloitte and Cisco hire for this role. It will be mentioned in the job form sent to you,,,
10/18/2019 14:00:58,3rd year Summer Internship,How much did Quicken pay for internship?,30000 per month,,,
10/18/2019 14:01:03,3rd year Summer Internship,Do interns get to work on live projects? ,Depends on the company. But often it's work on a proof of concept or on a module.,,,
10/18/2019 14:02:53,4th year placements,Does every company have a coding round ?,"No, but most tier 1 companies do. ",,,
10/18/2019 14:06:29,4th year placements,Is testing really a good option for a job?,"Depends on your preference. Some companies change the pay based on the role, but mostly they don't.",,,
10/18/2019 14:07:05,4th year placements,What does an analyst do?,JD will be specified by the company,,,
10/18/2019 14:08:29,4th year placements,Can you code in python?,Lots of companies have test platforms that allow you to code in many languages. Some specifically look for C/C++ or Java. But Python is often acceptable.,,,
10/18/2019 14:09:07,3rd year Summer Internship,How worried should I be if I don't get a third year internship for the summer on a scale of 1-10?,"2. Lot's of people don't get an internship. It might be disheartning, but it has little to no effect on your future prospects. Getting a PPO definitely makes your life easier. You could use your summer to prepare for placements that start Mid-July",Not worried at all. Use the extra time over the summer to prepare well for placements.,,
10/18/2019 14:10:06,4th year placements,Can you apply for only full time and not an internship?,"Yes, certain companies let you apply for only full time roles. ",,,
10/18/2019 14:11:56,3rd year Summer Internship,What does a PPO mean?,It stands for Pre Placement Offer - it's a full time job offer from the company that you did your 3rd year internship in.,,,
10/18/2019 14:12:11,3rd year Summer Internship,What's the PPO process for Morgan Stanley?,"There's a technical interview during the middle of your summer internship. On the basis of your manager's review and the results of the technical interview, they'll decide to offer you a PPO ",,,
10/18/2019 14:12:27,3rd year Summer Internship,What's the PPO process for Intuit?,"PPOs are given based on final project review, manager and peer reviews",,,
10/18/2019 14:12:41,3rd year Summer Internship,What is the PPO process for Samsung?,"They conduct 2 tests, once mid internship and once at the end of internship. If you pass the test there is an interview after that. Manager feedback is also valued",,,
10/18/2019 14:13:39,4th year placements,Are EC students eligible for software companies?,Depends on the company that's hiring/position that is being hired for. Each company specifies eligible branches when they send out the job form. ,,,
10/18/2019 14:15:03,4th year placements,Do companies hire for roles in countries abroad?,"Not usually. Training for some companies might be abroad, however. ",,,
10/18/2019 15:04:48,4th year placements,Can you reject PPOs?,"Yes. Placement cell prefers you reject immediately, if the company doesn't specify how much time you have to reject it. You can sit for placements on campus if you reject PPO. ",,,
10/18/2019 15:11:41,4th year placements,Can you hold both PPO and job offer in hand and decide which one you want later?,"No. If you accept a job offer through placements before your PPO gets confirmed, you'll have to reject the PPO.",,,
10/18/2019 15:13:32,4th year placements,How much does proper formal attire matter for attending interviews?,"Depends on the company, but it makes a good impression on the interviewers, so better to be dressed appropriately.",,,
10/18/2019 15:42:18,3rd year Summer Internship,What are the CGPA cutoffs for the 3rd year internships?,Check Row 31,,,
10/18/2019 15:44:29,4th year placements,"What are the CGPA cutoffs for T1 companies like Microsoft, Cure.Fit, Amazon etc.?",For the 2020 class: The Microsoft procedure was very blurry (from 2019 batch it could've been 8); Cure.fit was 8; Amazon did not have a cutoff but they never finished the placement procedure for us. ,,,
10/18/2019 15:49:36,3rd year Summer Internship,How should I prepare? Should I focus only on DS and Algo?,"Majorly DS and Algo, try to include some OS and DBMS. Last minute notes on geeksforgeeks can save lives if you don't have a lot of time to prepare as the name suggests",,,
10/18/2019 15:50:43,3rd year Summer Internship,"Is there a possibility to get into the research domain in companies, as a fresher?",Highly unlikely as during a 2 month internship. But companies like Samsung R&D hire specifically for that,,,
10/18/2019 16:04:38,3rd year Summer Internship,Do I have to fill up my resume with fancy stuff??? ,"Depends. Do you want a fancy job? Keep your resume neat and clean, don't lie, make the truth look good. Follow the One page rule, exceed 2 pages at your own risk",,,
10/18/2019 16:17:55,4th year placements,What are the relevant subjects to study for placements?,Check Row 4 and 54,,,
10/18/2019 16:18:03,3rd year Summer Internship,How to apply for 3rd year internship?,You can apply on campus through the placement cell or off campus (procedure is different for each company),,,
10/18/2019 16:18:50,3rd year Summer Internship,How important is compitetive coding ranks in coding sites for internship or placements? ,Out of 1-10. 1,,,
10/18/2019 16:19:39,3rd year Summer Internship,What do I do to get a summer internship? And what topics should I be fluent in?,Check Row 57,,,
10/18/2019 16:25:53,3rd year Summer Internship,How strict is the CGPA cutoff?,Very strict. Even if it's by 0.01,,,
10/18/2019 16:26:43,3rd year Summer Internship,Is there any way to sit un placement if I am not eligible in CGPA criteria?,You can personally approach them if you think you should be allowed to apply,,,
10/18/2019 16:27:29,3rd year Summer Internship,"During what period, companies come for recruiting interns?","They come throught the year, almost every 2 weeks even until the first week of summer",,,
10/18/2019 16:33:25,4th year placements,How good must we be at coding? What if we are not good at competitive coding but we do good in practical coding,Competitve coding helps you qualify the test and often Practical coding gets you through the interview,,,
10/18/2019 16:36:02,4th year placements,How many rounds are generally there? ,Depends on the company. Any where from 1-8,,,
10/18/2019 16:36:59,3rd year Summer Internship,When do the companies start recruiting for summer internships? What is the cutoff GPA? ,Check Row 31 and 63,,,
10/18/2019 16:37:16,3rd year Summer Internship,When will companies come to interview for Summer Internships?,Check Row 63,,,
10/18/2019 16:38:28,3rd year Summer Internship,What are the most important topics that we need to know,Check Row 4 and 54,,,
10/18/2019 16:50:03,4th year placements,Do you need to do a lot of projects to have an edge over others or just knowing about everything on you put on your resume is good enough?,Don't put anything on your resume that you don't kow about. Avoid projects where your contribution wasn't major. Check Row 56,,,
10/18/2019 16:50:29,4th year placements,If I have an internship offer from a T1 company and a job offer in T2 can I still sit for T1 which offers only full time? ,You are mostly allowed to hold only 2 offers at a time regardless of the tier. It's always best to ask the placement office to be sure,,,
10/18/2019 16:54:10,3rd year Summer Internship,What will be the selection procedure and what should be the preparation?,"Selection procedure is usually coding round followed by interview, subject to the company. Check Row 4 and 54",,,
10/18/2019 16:56:23,4th year placements,Is internship compulsory for placement ?,2 month internships provide the oppurtunity to get a PPO. But they are not compulsory. ,,,
10/18/2019 16:57:46,3rd year Summer Internship,What will be the cgpa cut off?when do companies come for internship recruitments?is there any stipend summer internship opportunities for  data scientists?,"Check Row 26, 31 and 63. As for the Data Scientists part the companies will provide the JD during the PPT or in the mail",,,
10/18/2019 17:20:21,4th year placements,"Does cgpa really matter in placement or they hire on the results they have concluded by seeing a person skills, and if it matters how much minimum is needed to get placed in good company?",The CGPA cut off is the only time it is considered. If you clear the cut off the hiring procedure is usually based on how you get through the interview,,,
10/18/2019 17:37:32,4th year placements,Can an Electrical Student get a job in Machine Learning? What will be the requirements and how to prepare oneself? ,Companies specify students from what branch can apply. Machine learning is a specific domain and there are hardly 1-2 companies that look for domain knowledge. Check out the sites that offer placement training,,,
10/18/2019 17:38:27,4th year placements,Will having backlogs affect placement ?,Companies specify conditions. No backlogs is sometimes one of them,,,
10/18/2019 17:40:29,3rd year Summer Internship,I haven't been able to work on that many projects but I have the enthusiasm to work on more. How do I make my resume stand out? ,Check Row 69,,,
10/18/2019 17:48:24,4th year placements,What's the importance of competitive coding vs research papers?,Competitve coding helps you qualify the test. Publishing a paper in college gives you credibility. Check Row 30,,,
10/18/2019 17:52:09,4th year placements,I see everyone doing Machine Learning nowadays. How much exactly is it beneficial for the placement?,Machine learning is a specific domain and there are hardly 1-2 companies that look for domain knowledge.,,,
10/18/2019 17:56:45,4th year placements,What's the importance of CGPA?,Check Row 31 and 61,,,
10/18/2019 18:50:03,3rd year Summer Internship,Do we need to be extremely good in coding to get an internship offer?,"If it's a software role, there's usually a coding test. Competitive coding practice can help you with that.",,,
10/18/2019 19:10:38,3rd year Summer Internship,How do I get into a good company(internship or placements. I'm desperate for literally anything)? Do I have to know AI/ML and all those buzzwords or is just competitive programming enough?,Hardly 1-2 companies look for domain knowledge. Competitive coding will get you through the coding test mainly. For the interview Check row 4 and 54,,,
10/18/2019 19:17:35,3rd year Summer Internship,How do I start preparing for internships from second year?,You can look at sites like HackerRank or LeetCode. I personally prefer geeksforgeeks,,,
10/18/2019 19:18:15,3rd year Summer Internship,Do I need to have projects or is preparing for the interviews enough? ,Having a good resume and projects to talk about is somewhat preparation for the interview,,,
10/18/2019 19:19:24,4th year placements,How do I improve on competitive coding?Any resources or reading materials?? ,You can look at sites like HackerRank or LeetCode. I personally prefer geeksforgeeks. Check Row 4 and 54,,,
10/18/2019 19:21:36,4th year placements,What's the lowest cgpa cutoff for t1 companies ,"Probably 6.5, Check Row 31",,,
10/18/2019 19:22:16,4th year placements,What's the difference between t1 and t2 companies ,Check Row 27,,,
10/18/2019 20:16:05,3rd year Summer Internship,What subjects do I study for interviews(placements and internships). To what extent should I cover the topics? Is it enough to be thorough in topics which are covered in the course info?,"Check Row 4 and 54. Questions can come from anywhere, you can tell your interviewer you haven't learned about it. Trying to fake knowing the answer is worse than not knowing",,,
10/18/2019 20:16:06,4th year placements,How many offers can 1 student get?,To my knowledge you can hold a maximum of 2 offers regardless of the tier.,,,
10/18/2019 20:21:35,4th year placements,Do companies actually care about my projects?,The care about your contribution. How well you know the project and how you worked in a team. To some extent they care about what domain the project actually was,,,
10/18/2019 20:23:23,3rd year Summer Internship,When are companies start coming for the 2021 year batch? There seems to be quite a delay compared to last year.,I can't possibly know when they'll come for you. Check Row 5,,,
10/18/2019 20:52:43,4th year placements,Will we have any pre placement training?,There is a week where the placement cell conducts talks. For the 2020 class Channa Sir conducted a 5 day bootcamp that I found useful.,,,
10/18/2019 21:21:27,4th year placements,Do we need to know about DBMS in detail? ,"If you put it on your resume, yes. If you're pressed for time might I suggest the LMNs on geeksforgeeks",,,
10/18/2019 21:28:13,4th year placements,How do I prepare for it? ,Check row 83. Any site that offers help on placement training.,,,
10/18/2019 21:28:24,4th year placements,Are we allowed to sit for placements even if we are not interested in the job but just a 6 months internship for the last semester? ,"Yes. Your interest in it is not a hard constraint, but at least let the company be under the impression you're interested during the interview",,,
10/18/2019 21:28:51,3rd year Summer Internship,Which companies comes for taking students for internships ?,The list is too long and changes every year. They come throughtout the year. You can ask the placement cell.,,,
10/18/2019 21:37:21,4th year placements,What topics are focused on during placements tests for cse students ?,Check Row 4 and 54.,,,
10/18/2019 21:39:28,3rd year Summer Internship,What resources to use for placement prep? ,"Things covered in college. Geeksforgeeks has extensive resources. Any site that offers placement training, ex: HackerRank and LeetCode",,,
10/18/2019 21:39:50,4th year placements,Is there a bunch of FAQs available for everyone to see? A lot of people have similar questions and it'll be easier if someone collects the questions and the answers in one place. ,"There isn't yet. That's the idea behind this form. We need a dataset, you need answers.",,,
10/18/2019 21:44:49,3rd year Summer Internship,Do we get to choose the company we intern for or does each company have an entrance test? ,You get to choose the company you apply to based on the eligibility criteria. The company definitely decides if they want you or not based on the placement procedure.,,,
10/18/2019 21:48:13,4th year placements,Placement process?,What about it?,,,
10/18/2019 21:48:51,3rd year Summer Internship,What kind of internships and projects do i have to work on?,Check Row 30,,,
10/18/2019 21:48:56,4th year placements,What are the most important topics for placements? Data structures and algorithms and what else? And will they check all our hackathon and project certificates for the interviews? How crucial are projects and hackthons for the placements?,"Check Row 4 and 54. They won't check your certificates. Mainly your resume. Projects, participation and achievements go on your resume and your resume is basically a menu that lists things you know about for the interviewer to choose what to ask from",,,
10/18/2019 21:52:26,4th year placements,What are the necessary topics I have to be proficient in to get placed in tier 1 companies?,Check Row 4 and 54.,,,
10/18/2019 22:13:23,3rd year Summer Internship,How to study data structures for placements?,Suggestion: Geeksforgeeks,,,
10/18/2019 22:38:17,3rd year Summer Internship,Can I skip the Pre placement talks?,"They usually try to make sure you don't miss the talks. If they catch you, they might not let you continue with the process. Possibility of getting barred. If you registered for the company, attend the PPT and write the test.",,,
10/18/2019 22:51:41,3rd year Summer Internship,What platform is the coding test usually on?,"HackerRank, Hacker Earth, Amcat etc.",,,
10/18/2019 22:52:30,3rd year Summer Internship,What types of questions are there in a coding test?,"Mostly Technical or Aptitude MCQs, Fix the code and mainly coding questions",,,
10/18/2019 22:54:07,3rd year Summer Internship,Is 1st year CGPA counted?,"CGPA(Cummulative Grade point average) is cummulative of all semesters, so yes.",,,
10/18/2019 23:14:39,3rd year Summer Internship,Do companies usually allow it's 3rd year summer interns to go to college and attend 4th year placement drive in between work?,"Internships usually get over before the drive starts, in case it doesn't it is company dependant.",,,
10/18/2019 23:16:39,3rd year Summer Internship,How can it be useful to intern if you have already gained enough experience in past 2 years? ,It's personal choice. If you're satisfied with your experience after 2 years don't intern. More experience can't hurt,,,
10/18/2019 23:16:55,4th year placements,How many students get Tier 1 offers?,Statistics change every year.,,,
10/18/2019 23:17:41,4th year placements,How many research companies come for placements?,Companies like Samsung R&D and LamReasearch come. But generally very scarce,,,
10/18/2019 23:31:47,4th year placements,What's the importance of GATE score?,No one really asks for it as far as I know. Could be a detail in your resume,,,
10/19/2019 0:29:22,4th year placements,Is internship compulsory for placement ?,Redundant question. ,,,
10/19/2019 7:16:37,3rd year Summer Internship,Does college offer any summer internships,"There are clubs in college where you could work over the summer. Like CCBD, CORI, MIL",,,
10/19/2019 10:43:07,4th year placements,What is the cutoff cgpa for placements?,Redundant question. ,,,
10/19/2019 16:30:47,4th year placements,Are the projects done as a part of the course work sufficient for your resume? Or does one need to do extra projects other than that in order to get a good job? ,Everyone would have done projects in the same domain as part of the courses. It's not a necassity that you need other projects but it will definitely make your resume unique and would give the reader more insight into you as a professional,,,
10/19/2019 17:28:42,4th year placements,Any clue as to what to do if the placements start in college while one is doing an internship in another city or country in the months of june-july-august?,"You'll have to give up the first few weeks of placements. Our college offers an oppurtunity for select students to go to CMU in the summer. Students choose to go being completely aware they'll miss the first 1-2 weeks. The first 2 weeks usually have big companies coming, but doesn't mean there won't be any big companies later.",,,
10/19/2019 22:49:06,4th year placements,which are the startups that are doing well and pay well?,,,,
10/19/2019 22:49:38,4th year placements,What are the job titles offered and which job titles have a good scope for growth?,"Each company has different titles and roles. The most common ones are Software Developer, Business Analyst, Quality Assurance and Testing. The role of SDE is most desirable according to many. The other roles are equally valued and companies don't often differentiate the pay based on the role",,,
10/19/2019 22:52:01,4th year placements,Which company has a good working culture?,,,,
10/19/2019 22:55:15,4th year placements,Is a Research Project for credits helpful to do? in comparison to an internship during the 8th sem,During 8th sem you have 2 options. To do a major project for 14 credits or an internship and a minor project for 6+8 credits. You can't avoid the project. If you do an internship it's going to be hectic but you get industry experience. It's your decision,,,
10/19/2019 22:56:29,4th year placements,How do companies grade internships for 8th sem credits?,"For the class of 2020, the department has specified that you sort out all the details with the company you're interning at. The department has a form and lots of criteria for your manager or someone relevant at the company to evaluate you on. The final grade is given by the department.",,,
10/19/2019 22:59:56,4th year placements,Placement now and masters later or the opposite is better?,"Depends on your preference. The notion is that if you put off your masters for a job, you might not want to study later because of the steady income. Sometimes you'd like to have some experience before studying further. Again it completely depends on what you want. ",,,
10/20/2019 10:10:07,4th year placements,Will we have any pre placement training?,Redundant question.,,,
,,,,,,
,,, ,,,
